Cert_Level_Num,EnergySaving_Smooth,Cert_Level_Label
1.0,16.289370391087743,Certified
1.0303030303030303,16.437432181515835,Certified
1.0606060606060606,16.58549397194393,Certified
1.0909090909090908,16.73355576237202,Certified
1.121212121212121,16.881617552800112,Certified
1.1515151515151516,17.029679343228207,Certified
1.1818181818181819,17.177741133656298,Certified
1.2121212121212122,17.32580292408439,Certified
1.2424242424242424,17.47386471451248,Certified
1.2727272727272727,17.621926504940575,Certified
1.303030303030303,17.769988295368666,Certified
1.3333333333333335,17.91805008579676,Certified
1.3636363636363638,18.066111876224852,Certified
1.393939393939394,18.214173666652943,Certified
1.4242424242424243,18.362235457081034,Certified
1.4545454545454546,18.51029724750913,Certified
1.4848484848484849,18.65835903793722,Certified
1.5151515151515151,18.80642082836531,Silver
1.5454545454545454,18.954482618793403,Silver
1.5757575757575757,19.102544409221498,Silver
1.606060606060606,19.25060619964959,Silver
1.6363636363636362,19.39866799007768,Silver
1.6666666666666667,19.546729780505775,Silver
1.696969696969697,19.694791570933866,Silver
1.7272727272727273,19.842853361361957,Silver
1.7575757575757576,19.990915151790052,Silver
1.7878787878787878,20.138976942218143,Silver
1.8181818181818183,20.287038732646234,Silver
1.8484848484848486,20.43510052307433,Silver
1.878787878787879,20.58316231350242,Silver
1.9090909090909092,20.73122410393051,Silver
1.9393939393939394,20.879285894358603,Silver
1.9696969696969697,21.027347684786697,Silver
2.0,21.17540947521479,Silver
2.0303030303030303,21.71393819712752,Silver
2.0606060606060606,22.252466919040245,Silver
2.090909090909091,22.790995640952975,Silver
2.121212121212121,23.329524362865705,Silver
2.1515151515151514,23.868053084778435,Silver
2.1818181818181817,24.406581806691165,Silver
2.212121212121212,24.94511052860389,Silver
2.242424242424242,25.48363925051662,Silver
2.2727272727272725,26.02216797242935,Silver
2.3030303030303028,26.560696694342077,Silver
2.3333333333333335,27.099225416254818,Silver
2.3636363636363638,27.637754138167544,Silver
2.393939393939394,28.176282860080274,Silver
2.4242424242424243,28.714811581993004,Silver
2.4545454545454546,29.25334030390573,Silver
2.484848484848485,29.79186902581846,Silver
2.515151515151515,30.33039774773119,Gold
2.5454545454545454,30.868926469643917,Gold
2.5757575757575757,31.40745519155665,Gold
2.6060606060606064,31.945983913469384,Gold
2.6363636363636367,32.48451263538212,Gold
2.666666666666667,33.023041357294844,Gold
2.6969696969696972,33.56157007920757,Gold
2.7272727272727275,34.1000988011203,Gold
2.757575757575758,34.63862752303303,Gold
2.787878787878788,35.17715624494576,Gold
2.8181818181818183,35.71568496685849,Gold
2.8484848484848486,36.254213688771216,Gold
2.878787878787879,36.79274241068394,Gold
2.909090909090909,37.331271132596676,Gold
2.9393939393939394,37.86979985450941,Gold
2.9696969696969697,38.408328576422136,Gold
3.0,38.94685729833486,Gold
3.0303030303030303,39.090411143895516,Gold
3.0606060606060606,39.23396498945617,Gold
3.090909090909091,39.37751883501682,Gold
3.121212121212121,39.521072680577475,Gold
3.1515151515151514,39.66462652613813,Gold
3.1818181818181817,39.80818037169878,Gold
3.2121212121212124,39.95173421725944,Gold
3.2424242424242427,40.095288062820096,Gold
3.272727272727273,40.23884190838075,Gold
3.303030303030303,40.3823957539414,Gold
3.3333333333333335,40.525949599502056,Gold
3.3636363636363638,40.66950344506271,Gold
3.393939393939394,40.81305729062336,Gold
3.4242424242424243,40.956611136184016,Gold
3.4545454545454546,41.10016498174467,Gold
3.484848484848485,41.24371882730532,Gold
3.515151515151515,41.38727267286598,Platinum
3.5454545454545454,41.530826518426636,Platinum
3.5757575757575757,41.67438036398729,Platinum
3.606060606060606,41.81793420954794,Platinum
3.6363636363636362,41.961488055108596,Platinum
3.666666666666667,42.10504190066925,Platinum
3.6969696969696972,42.2485957462299,Platinum
3.7272727272727275,42.392149591790556,Platinum
3.757575757575758,42.53570343735121,Platinum
3.787878787878788,42.67925728291186,Platinum
3.8181818181818183,42.82281112847252,Platinum
3.8484848484848486,42.966364974033176,Platinum
3.878787878787879,43.10991881959383,Platinum
3.909090909090909,43.25347266515448,Platinum
3.9393939393939394,43.397026510715136,Platinum
3.9696969696969697,43.54058035627579,Platinum
4.0,43.68413420183644,Platinum
