CountryName,CertLevel,Project_Count,Total_Points_Achieved
AE,Certified,3,130
AE,Gold,55,3783
AE,Platinum,17,1423
BR,Gold,40,2756
BR,Platinum,8,667
BR,Silver,6,321
CA,Certified,7,317
CA,Gold,46,2973
CA,Platinum,2,164
CA,Silver,20,1085
CN,Certified,3,136
CN,Gold,350,23854
CN,Platinum,163,13669
CN,Silver,10,530
ES,Certified,3,135
ES,Gold,64,4274
ES,Platinum,29,2430
ES,Silver,1,54
HK,Gold,15,1025
HK,Platinum,27,2264
IN,Certified,3,134
IN,Gold,134,9781
IN,Platinum,167,14149
IN,Silver,3,165
IT,Certified,3,141
IT,Gold,58,3897
IT,Platinum,6,501
IT,Silver,4,225
KR,Certified,2,86
KR,Gold,25,1651
KR,Platinum,8,669
KR,Silver,4,213
MX,Certified,1,46
MX,Gold,17,1180
MX,Silver,3,160
TR,Certified,3,127
TR,Gold,45,3012
TR,Platinum,5,404
TR,Silver,8,441
US,Certified,99,4272
US,Gold,314,19901
US,Platinum,33,2765
US,Silver,251,13299
